Gene,log2FC,Pvalue,Padj
ENPEP,1.3600233333333334,0.0010604775247792355,22.932826473350968
EPHA5,1.6598400000000009,1.015158383117241e-06,0.021952800034910337
ERMAP,1.0654899999999996,0.00015668415664982078,3.3882948875523744
ERV3,1.8475433333333342,1.7658157768573497e-05,0.38185766174540187
ESRRG,1.0869766666666667,0.0004247037293944382,9.184218148154725
F2RL2,1.621430000000002,0.00034207218869627314,7.397311080556906
F8,1.299013333333332,0.00017973808059732082,3.886835992917063
FAM102A,1.3686233333333337,6.2264835028820485e-06,0.1346477057498243
FAM129A,1.8086399999999987,4.086487448320239e-05,0.8837029106992517
FAM134B,1.1804733333333335,0.0008197995233702711,17.728164692882114
FAM149B1,1.0720700000000019,0.0003284313585214498,7.102328128026352
FAM175A,1.1630366666666667,0.0003181478370063093,6.879946975261438
FAM198B,2.873266666666667,4.444991309672019e-05,0.9612293707165741
FAM214A,1.4905566666666665,0.00033619252483908243,7.270163349645157
FAM229B,1.0430699999999993,5.6567394503706614e-05,1.2232699061426555
FAM47E,1.62812,0.0008828095822127197,19.090757215350063
FAM63A,1.4463999999999988,0.00010532312400667053,2.27761255664425
FAM78B,1.0945833333333326,0.00031286031442833546,6.765604299512754
FAP,1.597529999999999,0.0016736775035236596,36.19327601369914
FAT4,1.711803333333334,0.00013525128268469534,2.9248089880565367
FAXDC2,2.0752700000000015,1.0179495147890686e-05,0.2201315825731361
FBN1,1.3056266666666652,8.198797642720447e-05,1.7729899902382966
FGD4,1.2460766666666636,0.000522299107989991,11.294718210283555
FGF1,1.9596433333333323,5.8675074488101535e-05,1.2688484858051956
FGFR2,1.1290433333333345,0.0005555038077062839,12.012769841648389
FGGY,1.2812700000000001,0.0001952395955210345,4.222056253142371
FHDC1,2.0235733333333323,2.1438320239078664e-05,0.4636036751700761
FLJ30403,1.0464700000000011,0.0002927311557355138,6.3303112427804855
FMO4,1.0685666666666656,0.01717444209976744,371.39731040747085
FMO5,1.51788,0.0006012166475681968,13.001310003662255
FOLH1,1.7885516666666676,8.161152982036738e-05,1.7648493323654446
FOLR1,2.350786666666666,1.8695554352616077e-05,0.4042913628753227
FOSL2,1.6366300000000038,8.90024995253839e-06,0.19246790522364265
FOXD3,1.1468966666666685,0.0003007047536626439,6.5027402979546745
FREM2,2.014479999999999,0.0005804798325529527,12.552876378957603
FRRS1,1.027873333333332,0.0007110607742650145,15.37668924348094
FRY,1.0428066666666664,1.7221897998414473e-05,0.372423544215713
FXYD6,1.1269399999999976,0.0006498139410916684,14.052226476107329
FYB,2.329033333333334,4.021067577477703e-05,0.8695558636295533
GAB1,1.5277566666666669,7.320453633388801e-06,0.15830480982203282
GABRA2,1.2091666666666674,0.008421345827650221,182.11160352293604
GABRB1,1.110523333333333,0.0019653240296754813,42.50013214173229
GABRG2,1.0642666666666676,0.0003147587674139319,6.806658345326277
GALNT5,1.350576666666666,0.0008156183535829942,17.63774689623225
GALT,1.044723333333332,8.145548741895672e-05,1.761474915434939
GAS2,1.0150233333333327,0.0010094175658734083,21.828654862012456
GAS6,1.0766433333333332,0.00020538199602887407,4.441385664124402
